bench,bsz,kv_len,device_name,cache_size,mean,median,p25,p75
CacheDecompressed,32,32,NVIDIA A100-PCIE-40GB,83886080,0.0004243648643605412,0.00042428618599660696,0.0004242818510392681,0.00042440853849984707
CacheDecompressed,32,64,NVIDIA A100-PCIE-40GB,167772160,0.00048552789500293627,0.0004854637149255723,0.00048544453654903916,0.00048557916341815144
CacheDecompressed,32,128,NVIDIA A100-PCIE-40GB,335544320,0.0006037317049922422,0.0006037317049922422,0.000603477650496643,0.0006039857594878413
CacheDecompressed,32,256,NVIDIA A100-PCIE-40GB,671088640,0.000853220100980252,0.0008529150707181543,0.0008528218773426489,0.0008539855486014858
CacheDecompressed,32,512,NVIDIA A100-PCIE-40GB,1342177280,0.0013414018211187796,0.0013397217192687096,0.001339540594490245,0.0013426995184272527
CacheDecompressed,32,1024,NVIDIA A100-PCIE-40GB,2684354560,0.0023168327314779164,0.0023157080681994557,0.00231505281990394,0.0023181165382266046
CacheDecompressed,32,2048,NVIDIA A100-PCIE-40GB,5368709120,0.004311429140313218,0.00431012341985479,0.0043095942353829735,0.004312611185014248
CacheDecompressed,32,4096,NVIDIA A100-PCIE-40GB,10737418240,0.008312320564873518,0.008312320564873518,0.00831228712806478,0.008312354001682253
CacheDecompressed,32,8192,NVIDIA A100-PCIE-40GB,21474836480,0.01628768472998802,0.016277126595377923,0.01627083864295855,0.0162816503085196
CacheCompressed,32,32,NVIDIA A100-PCIE-40GB,1179648,0.0008611493668286129,0.0008380094647873193,0.0008371872053248808,0.0008404638833599165
CacheCompressed,32,64,NVIDIA A100-PCIE-40GB,2359296,0.0012923644231632352,0.0012923644231632352,0.0012923644231632352,0.0012923644231632352
CacheCompressed,32,128,NVIDIA A100-PCIE-40GB,4718592,0.0022022132887504994,0.0022032134607434272,0.002190691940486431,0.0022082214313559234
CacheCompressed,32,256,NVIDIA A100-PCIE-40GB,9437184,0.004026204750407487,0.004011702379211783,0.004001063749892637,0.004044094565324485
CacheCompressed,32,512,NVIDIA A100-PCIE-40GB,18874368,0.007660903850337491,0.007660903850337491,0.0076580629945965486,0.007663744706078433
CacheCompressed,32,1024,NVIDIA A100-PCIE-40GB,37748736,0.014985891844012906,0.014993641409091651,0.014966570003889502,0.015022810304071755
CacheCompressed,32,2048,NVIDIA A100-PCIE-40GB,75497472,0.029837886994937435,0.029815391346346587,0.029705862794071437,0.029947415547212586
CacheCompressed,32,4096,NVIDIA A100-PCIE-40GB,150994944,0.05951910114381462,0.05951910114381462,0.05945730407256633,0.05958089821506291
CacheCompressed,32,8192,NVIDIA A100-PCIE-40GB,301989888,0.12202196485466427,0.12178442697040737,0.12121193204075098,0.12224733387120068
Absorbed,32,32,NVIDIA A100-PCIE-40GB,0,0.001075147510337154,0.0010642691049724817,0.001060724025592208,0.0010699795093387365
Absorbed,32,64,NVIDIA A100-PCIE-40GB,0,0.0014589984440339767,0.0014553745277225971,0.0014512386987917125,0.0014615030377171934
Absorbed,32,128,NVIDIA A100-PCIE-40GB,0,0.002329966209850512,0.0023249040823429823,0.0023229692596942186,0.0023281966568902135
