bench,bsz,kv_len,device_name,cache_size,mean,median,p25,p75
CacheDecompressed,1,32,NVIDIA A100-PCIE-40GB,2621440,0.00031323463848093524,0.0003131680344231427,0.0003131457206909545,0.00031325695221312344
CacheDecompressed,1,64,NVIDIA A100-PCIE-40GB,5242880,0.0003176235074643046,0.00031759444589260965,0.0003175710866926238,0.00031764686666429045
CacheDecompressed,1,128,NVIDIA A100-PCIE-40GB,10485760,0.0003248031639959663,0.000324837060412392,0.0003247263837256469,0.00032491384068271146
CacheDecompressed,1,256,NVIDIA A100-PCIE-40GB,20971520,0.0003300693028140813,0.0003300523655489087,0.00033001650706864893,0.0003301051612943411
CacheDecompressed,1,512,NVIDIA A100-PCIE-40GB,41943040,0.0003468002950151761,0.0003467094749212265,0.0003467012729961425,0.00034685390698723493
CacheDecompressed,1,1024,NVIDIA A100-PCIE-40GB,83886080,0.0003796174539408336,0.00037959252088330686,0.0003795628169318661,0.00037965962442103774
CacheDecompressed,1,2048,NVIDIA A100-PCIE-40GB,167772160,0.0004422841880004853,0.00044222810701467096,0.00044221649400424213,0.0004423238415038213
CacheDecompressed,1,4096,NVIDIA A100-PCIE-40GB,335544320,0.0005683711540186778,0.0005683711540186778,0.0005683139225584455,0.00056842838547891
CacheDecompressed,1,8192,NVIDIA A100-PCIE-40GB,671088640,0.0008163810555124655,0.0008163810555124655,0.000815403860702645,0.000817358250322286
CacheDecompressed,1,16384,NVIDIA A100-PCIE-40GB,1342177280,0.0013140615713200532,0.0013121152657549827,0.0013116619834909215,0.0013146044069435449
CacheDecompressed,1,32768,NVIDIA A100-PCIE-40GB,2684354560,0.002307384413667023,0.0023064248892478646,0.0023051733383908867,0.0023089491389691828
CacheDecompressed,1,65536,NVIDIA A100-PCIE-40GB,5368709120,0.004347704759954164,0.0043491417006589475,0.004346608630148694,0.004349519360112027
CacheDecompressed,1,131072,NVIDIA A100-PCIE-40GB,10737418240,0.008393384254304692,0.008393384254304692,0.008393302456825041,0.008393466051784343
CacheCompressed,1,32,NVIDIA A100-PCIE-40GB,36864,0.000363644658587873,0.000363572807982564,0.0003635257459245622,0.00036372764594852925
CacheCompressed,1,64,NVIDIA A100-PCIE-40GB,73728,0.00038379261293448506,0.0003836917309090495,0.0003836882764007896,0.00038384650845546276
CacheCompressed,1,128,NVIDIA A100-PCIE-40GB,147456,0.0003956385736819357,0.0003955851180944592,0.00039548723900225015,0.00039576318056788295
CacheCompressed,1,256,NVIDIA A100-PCIE-40GB,294912,0.000430863679619506,0.0004307924599852413,0.00043078239692840724,0.0004309093524934724
CacheCompressed,1,512,NVIDIA A100-PCIE-40GB,589824,0.0005079611000837758,0.0005079611000837758,0.0005079332865425385,0.0005079889136250131
CacheCompressed,1,1024,NVIDIA A100-PCIE-40GB,1179648,0.0006881427764892578,0.0006881427764892578,0.0006880810897564515,0.0006882044632220641
CacheCompressed,1,2048,NVIDIA A100-PCIE-40GB,2359296,0.0010502058232668787,0.0010506178298965096,0.0010504191007930784,0.0010506883810739965
CacheCompressed,1,4096,NVIDIA A100-PCIE-40GB,4718592,0.0017798768639719733,0.0017747402703389525,0.0017734482558444142,0.0017845531477360054
CacheCompressed,1,8192,NVIDIA A100-PCIE-40GB,9437184,0.00323230595968198,0.0032323033444117757,0.003223525957437232,0.0032410833466565234
CacheCompressed,1,16384,NVIDIA A100-PCIE-40GB,18874368,0.006150679795537144,0.006150679795537144,0.006150273757521063,0.006151085833553225
CacheCompressed,1,32768,NVIDIA A100-PCIE-40GB,37748736,0.012069609679747373,0.012069609679747373,0.012069609679747373,0.012069609679747373
CacheCompressed,1,65536,NVIDIA A100-PCIE-40GB,75497472,0.024085122416727243,0.02404196939896792,0.02401277399621904,0.024153924197889864
CacheCompressed,1,131072,NVIDIA A100-PCIE-40GB,150994944,0.049060265541387094,0.04908287751022726,0.04902559830807149,0.04910623875912279
Absorbed,1,32,NVIDIA A100-PCIE-40GB,0,0.0007064420182986637,0.0006989585235714912,0.0006927652284502983,0.0007086705300025642
