bench,bsz,kv_len,device_name,cache_size,mean,median,p25,p75
CacheCompressed,1,32,NVIDIA A100-PCIE-40GB,36864,0.000363644658587873,0.000363572807982564,0.0003635257459245622,0.00036372764594852925
CacheCompressed,1,64,NVIDIA A100-PCIE-40GB,73728,0.00038379261293448506,0.0003836917309090495,0.0003836882764007896,0.00038384650845546276
CacheCompressed,1,128,NVIDIA A100-PCIE-40GB,147456,0.0003956385736819357,0.0003955851180944592,0.00039548723900225015,0.00039576318056788295
CacheCompressed,1,256,NVIDIA A100-PCIE-40GB,294912,0.000430863679619506,0.0004307924599852413,0.00043078239692840724,0.0004309093524934724
CacheCompressed,1,512,NVIDIA A100-PCIE-40GB,589824,0.0005079611000837758,0.0005079611000837758,0.0005079332865425385,0.0005079889136250131
CacheCompressed,1,1024,NVIDIA A100-PCIE-40GB,1179648,0.0006881427764892578,0.0006881427764892578,0.0006880810897564515,0.0006882044632220641
CacheCompressed,1,2048,NVIDIA A100-PCIE-40GB,2359296,0.0010502058232668787,0.0010506178298965096,0.0010504191007930784,0.0010506883810739965
CacheCompressed,1,4096,NVIDIA A100-PCIE-40GB,4718592,0.0017798768639719733,0.0017747402703389525,0.0017734482558444142,0.0017845531477360054
CacheCompressed,1,8192,NVIDIA A100-PCIE-40GB,9437184,0.00323230595968198,0.0032323033444117757,0.003223525957437232,0.0032410833466565234
CacheCompressed,1,16384,NVIDIA A100-PCIE-40GB,18874368,0.006150679795537144,0.006150679795537144,0.006150273757521063,0.006151085833553225
CacheCompressed,1,32768,NVIDIA A100-PCIE-40GB,37748736,0.012069609679747373,0.012069609679747373,0.012069609679747373,0.012069609679747373
CacheCompressed,1,65536,NVIDIA A100-PCIE-40GB,75497472,0.024085122416727243,0.02404196939896792,0.02401277399621904,0.024153924197889864
CacheCompressed,1,131072,NVIDIA A100-PCIE-40GB,150994944,0.049060265541387094,0.04908287751022726,0.04902559830807149,0.04910623875912279
Absorbed_CacheCompressed_MoveElision,1,32,NVIDIA GeForce RTX 4080,36864,0.0005046598770422862,0.0005046598770422862,0.0005043192664743401,0.0005050004876102322
Absorbed_CacheCompressed_MoveElision,1,64,NVIDIA GeForce RTX 4080,73728,0.0005037451320094987,0.0005037451320094987,0.0005036883315187879,0.0005038019325002097
Absorbed_CacheCompressed_MoveElision,1,128,NVIDIA GeForce RTX 4080,147456,0.0005063260728493333,0.0005063260728493333,0.0005060432623140514,0.0005066088833846152
Absorbed_CacheCompressed_MoveElision,1,256,NVIDIA GeForce RTX 4080,294912,0.0005087446175748482,0.0005087446175748482,0.0005086852033273317,0.0005088040318223648
Absorbed_CacheCompressed_MoveElision,1,512,NVIDIA GeForce RTX 4080,589824,0.0005138788755284622,0.0005138788755284622,0.0005138484017807059,0.0005139093492762185
Absorbed_CacheCompressed_MoveElision,1,1024,NVIDIA GeForce RTX 4080,1179648,0.000524186884984374,0.000524186884984374,0.0005241088620387018,0.0005242649079300463
Absorbed_CacheCompressed_MoveElision,1,2048,NVIDIA GeForce RTX 4080,2359296,0.0005407413499196991,0.0005407413499196991,0.0005406244043842889,0.0005408582954551093
Absorbed_CacheCompressed_MoveElision,1,4096,NVIDIA GeForce RTX 4080,4718592,0.0005705439865123481,0.0005705439865123481,0.0005704717772314326,0.0005706161957932636
Absorbed_CacheCompressed_MoveElision,1,8192,NVIDIA GeForce RTX 4080,9437184,0.0006241845835465938,0.0006241845835465938,0.0006241206758422777,0.00062424849125091
Absorbed_CacheCompressed_MoveElision,1,16384,NVIDIA GeForce RTX 4080,18874368,0.0008005571746034548,0.0008005571746034548,0.0008005072038504295,0.00080060714535648
Absorbed_CacheCompressed_MoveElision,1,32768,NVIDIA GeForce RTX 4080,37748736,0.001024332147324458,0.001018582055112347,0.0010184928809758276,0.0010186766553670168
Absorbed_CacheCompressed_MoveElision,1,65536,NVIDIA GeForce RTX 4080,75497472,0.0016001175956002302,0.0015890467609278858,0.0015881200949661434,0.0016014947451185434
Absorbed_CacheCompressed_MoveElision,1,131072,NVIDIA GeForce RTX 4080,150994944,0.0029365556692937385,0.002936313438694924,0.0029355379589833318,0.002937331149005331
AbsorbedMaterialized_CacheCompressed_MoveElision,1,32,NVIDIA GeForce RTX 4080,36864,0.00449396376653264,0.004493599368724972,0.00449350863462314,0.004494236699538305
AbsorbedMaterialized_CacheCompressed_MoveElision,1,64,NVIDIA GeForce RTX 4080,73728,0.004495488104100029,0.004495649312157184,0.0044951382861472666,0.004495918526081368
AbsorbedMaterialized_CacheCompressed_MoveElision,1,128,NVIDIA GeForce RTX 4080,147456,0.004497071100243677,0.004496436489280314,0.004496434344910085,0.0044973905500955876
AbsorbedMaterialized_CacheCompressed_MoveElision,1,256,NVIDIA GeForce RTX 4080,294912,0.0044974368562301,0.004496426999103278,0.0044963894598186015,0.004497979324078187
AbsorbedMaterialized_CacheCompressed_MoveElision,1,512,NVIDIA GeForce RTX 4080,589824,0.004502837670346101,0.004503237891476601,0.004502622545696795,0.004503252905560657
AbsorbedMaterialized_CacheCompressed_MoveElision,1,1024,NVIDIA GeForce RTX 4080,1179648,0.004525487072144945,0.004525813139043749,0.004525205858517439,0.004525931319221854
AbsorbedMaterialized_CacheCompressed_MoveElision,1,2048,NVIDIA GeForce RTX 4080,2359296,0.004537438886084904,0.004536752549465745,0.004536674354458228,0.004537860249402001
AbsorbedMaterialized_CacheCompressed_MoveElision,1,4096,NVIDIA GeForce RTX 4080,4718592,0.004560584080560753,0.004560066710691899,0.004560057250782847,0.004560852225404232
AbsorbedMaterialized_CacheCompressed_MoveElision,1,8192,NVIDIA GeForce RTX 4080,9437184,0.004604844737332314,0.004603134691715241,0.004602737886598334,0.004606096565257758
AbsorbedMaterialized_CacheCompressed_MoveElision,1,16384,NVIDIA GeForce RTX 4080,18874368,0.004750810582966854,0.004750400870107114,0.004750308869406581,0.004751107440097257
AbsorbedMaterialized_CacheCompressed_MoveElision,1,32768,NVIDIA GeForce RTX 4080,37748736,0.0049638623969318965,0.004964457701425999,0.0049634272803086785,0.004964595165802166
AbsorbedMaterialized_CacheCompressed_MoveElision,1,65536,NVIDIA GeForce RTX 4080,75497472,0.005544346845708788,0.005544346845708788,0.005543990503065289,0.005544703188352287
AbsorbedMaterialized_CacheCompressed_MoveElision,1,131072,NVIDIA GeForce RTX 4080,150994944,0.006899138659937307,0.006899138659937307,0.006899003874859773,0.006899273445014842
CacheCompressed,1,32,NVIDIA GeForce RTX 4080,36864,0.0005255602980032564,0.0005255602980032564,0.0005254812614293769,0.0005256393345771358
CacheCompressed,1,64,NVIDIA GeForce RTX 4080,73728,0.0005342159235151485,0.0005342159235151485,0.000534135076275561,0.0005342967707547359
CacheCompressed,1,128,NVIDIA GeForce RTX 4080,147456,0.0005539993825368583,0.0005539993825368583,0.0005539174262667075,0.0005540813388070091
CacheCompressed,1,256,NVIDIA GeForce RTX 4080,294912,0.0006104302755557001,0.0006104302755557001,0.0006103287077276037,0.0006105318433837965
CacheCompressed,1,512,NVIDIA GeForce RTX 4080,589824,0.0007628481680294498,0.0007628481680294498,0.0007627992600318975,0.0007628970760270022
CacheCompressed,1,1024,NVIDIA GeForce RTX 4080,1179648,0.0010991340109612793,0.0010989318555220961,0.0010987869347445665,0.0010993223439436407
CacheCompressed,1,2048,NVIDIA GeForce RTX 4080,2359296,0.0017511314149790756,0.0017446770949754863,0.0017446384648792447,0.0017449674248928204
CacheCompressed,1,4096,NVIDIA GeForce RTX 4080,4718592,0.0030737700476311143,0.0030622590088751167,0.0030616759072290734,0.003074353149277158
CacheCompressed,1,8192,NVIDIA GeForce RTX 4080,9437184,0.005625358670949937,0.005625358670949937,0.0056245263712480665,0.005626190970651806
CacheCompressed,1,16384,NVIDIA GeForce RTX 4080,18874368,0.010838046248536556,0.010798114398494364,0.010794591292506085,0.01080855547916144
CacheCompressed,1,32768,NVIDIA GeForce RTX 4080,37748736,0.021045657079666852,0.021045378292910755,0.021044845110736787,0.021050079306587578
CacheCompressed,1,65536,NVIDIA GeForce RTX 4080,75497472,0.041707753467683996,0.041709112492389976,0.041702899395022544,0.04171328705269843
Absorbed_CacheCompressed_MoveElision,1,32,NVIDIA A100-PCIE-40GB,36864,0.0003523052223026752,0.00035116753890179097,0.0003511506599606946,0.0003528909429442137
Absorbed_CacheCompressed_MoveElision,1,64,NVIDIA A100-PCIE-40GB,73728,0.0003552871517216166,0.00035527590103447436,0.0003550585896009579,0.0003555100884987041
Absorbed_CacheCompressed_MoveElision,1,128,NVIDIA A100-PCIE-40GB,147456,0.00035504300294754405,0.00035488965595141054,0.0003548734819050878,0.0003551358504919335
Absorbed_CacheCompressed_MoveElision,1,256,NVIDIA A100-PCIE-40GB,294912,0.00035809162235818804,0.0003583363890647888,0.00035720378952100874,0.0003591018385486677
Absorbed_CacheCompressed_MoveElision,1,512,NVIDIA A100-PCIE-40GB,589824,0.00036368410599728427,0.0003635742061305791,0.0003635659000137821,0.00036374736204743385
Absorbed_CacheCompressed_MoveElision,1,1024,NVIDIA A100-PCIE-40GB,1179648,0.0003748765150085092,0.0003747788830660284,0.00037476936553139243,0.00037493484851438554
Absorbed_CacheCompressed_MoveElision,1,2048,NVIDIA A100-PCIE-40GB,2359296,0.00038874444466394683,0.00038876525009982286,0.00038867414102423936,0.00038882515102159235
Absorbed_CacheCompressed_MoveElision,1,4096,NVIDIA A100-PCIE-40GB,4718592,0.00041408308898098766,0.00041399651509709657,0.0004138575425604358,0.00041426534845959395
Absorbed_CacheCompressed_MoveElision,1,8192,NVIDIA A100-PCIE-40GB,9437184,0.00046573551728700603,0.00046488884696736934,0.00046487337443977593,0.0004661743249744177
Absorbed_CacheCompressed_MoveElision,1,16384,NVIDIA A100-PCIE-40GB,18874368,0.0005796846565790474,0.0005796846565790474,0.0005796599113382398,0.000579709401819855
Absorbed_CacheCompressed_MoveElision,1,32768,NVIDIA A100-PCIE-40GB,37748736,0.000841066367768993,0.0008138776244595647,0.0008104546304093675,0.000815840124269016
Absorbed_CacheCompressed_MoveElision,1,65536,NVIDIA A100-PCIE-40GB,75497472,0.0013410428795032202,0.0013165896444115787,0.0013164117682026698,0.0013200525922002272
Absorbed_CacheCompressed_MoveElision,1,131072,NVIDIA A100-PCIE-40GB,150994944,0.0023949925089254975,0.002389614097774029,0.002385590460617095,0.0024095359584316613
