bench,bsz,kv_len,device_name,cache_size,mean,median,p25,p75
Baseline,32,32,NVIDIA GeForce RTX 4080,0,0.0014856367652478575,0.0014773521106690168,0.0014304342912510037,0.001537376141641289
Baseline,32,64,NVIDIA GeForce RTX 4080,0,0.0023550178499563653,0.0023430429864674807,0.002340554026886821,0.002347020898014307
Baseline,32,128,NVIDIA GeForce RTX 4080,0,0.004441781138457292,0.004381698090583086,0.004373786621727049,0.004588066192809492
Baseline,32,256,NVIDIA GeForce RTX 4080,0,0.008324640704903845,0.00819262396544218,0.008182665100321174,0.008691827999427915
Baseline,32,512,NVIDIA GeForce RTX 4080,0,0.015320066069817227,0.015210208017379045,0.015190189122222364,0.01522207714151591
Baseline,32,1024,NVIDIA GeForce RTX 4080,0,0.03209165370208211,0.03193862654734403,0.031923387839924544,0.03194777522003278
Baseline,32,2048,NVIDIA GeForce RTX 4080,0,0.06697321091778577,0.06643022899515927,0.06639476306736469,0.06648587738163769
Baseline,32,4096,NVIDIA GeForce RTX 4080,0,0.13735831750091165,0.13667746051214635,0.1366649437113665,0.13675133569631726
CacheDecompressed,32,32,NVIDIA GeForce RTX 4080,83886080,0.0006280584995402023,0.0006280584995402023,0.0006280027857865206,0.000628114213293884
CacheDecompressed,32,64,NVIDIA GeForce RTX 4080,167772160,0.0007571865380741655,0.0007571865380741655,0.0007571256870869547,0.0007572473890613764
CacheDecompressed,32,128,NVIDIA GeForce RTX 4080,335544320,0.0010231009603012353,0.0010216289944946766,0.001021590571035631,0.0010217101557645947
CacheDecompressed,32,256,NVIDIA GeForce RTX 4080,671088640,0.0015469943958201578,0.0015465700603090227,0.0015464619407430291,0.0015469988842960448
CacheDecompressed,32,512,NVIDIA GeForce RTX 4080,1342177280,0.0025988160900305957,0.002597560950089246,0.002596872808644548,0.0025995042314752937
CacheDecompressed,32,1024,NVIDIA GeForce RTX 4080,2684354560,0.004675544343578319,0.004675345621071756,0.0046748032304458325,0.004676186095457524
CacheDecompressed,32,2048,NVIDIA GeForce RTX 4080,5368709120,0.008847093114551776,0.008837141701951622,0.008835793798789382,0.008845617272891104
CacheDecompressed,32,4096,NVIDIA GeForce RTX 4080,10737418240,0.017485620822602264,0.017483476002234967,0.017477853735908863,0.01749698424246162
CacheCompressed,32,32,NVIDIA GeForce RTX 4080,1179648,0.001188354856101796,0.001188354856101796,0.001188354856101796,0.001188354856101796
CacheCompressed,32,64,NVIDIA GeForce RTX 4080,2359296,0.0020127121675759556,0.0020115042594261467,0.0020114860590547323,0.0020134351192973555
CacheCompressed,32,128,NVIDIA GeForce RTX 4080,4718592,0.0039105322568987804,0.003910698611289263,0.003909850451163948,0.003911297239828855
CacheCompressed,32,256,NVIDIA GeForce RTX 4080,9437184,0.007304408604977652,0.007304408604977652,0.007303923357394524,0.0073048938525607805
CacheCompressed,32,512,NVIDIA GeForce RTX 4080,18874368,0.013810541841667145,0.01373625905252993,0.013722633878933266,0.013755824381951243
CacheCompressed,32,1024,NVIDIA GeForce RTX 4080,37748736,0.029017569555435333,0.029015423951204867,0.029013262904481963,0.029019730602158234
CacheCompressed,32,2048,NVIDIA GeForce RTX 4080,75497472,0.061077478286974574,0.06063586799427867,0.060592256020754576,0.0607189170550555
CacheCompressed,32,4096,NVIDIA GeForce RTX 4080,150994944,0.1249382469104603,0.1249382469104603,0.1249382469104603,0.1249382469104603
Baseline,32,32,NVIDIA A100-PCIE-40GB,0,0.001110559209228207,0.0010410540271550417,0.0010383629705756903,0.0012490570079535246
Baseline,32,64,NVIDIA A100-PCIE-40GB,0,0.001723125484802483,0.0016554719768464565,0.0016424190253019333,0.001665713032707572
Baseline,32,128,NVIDIA A100-PCIE-40GB,0,0.003201328165168627,0.002944336971268058,0.0029253249522298574,0.0030007099267095327
Baseline,32,256,NVIDIA A100-PCIE-40GB,0,0.005688816782573916,0.005502475658431649,0.0054979780106805265,0.005505881563294679
Baseline,32,512,NVIDIA A100-PCIE-40GB,0,0.011525015145989841,0.010881336173042655,0.010794877540320158,0.011047473410144448
Baseline,32,1024,NVIDIA A100-PCIE-40GB,0,0.02312155078503896,0.021623614942654967,0.02097120473627001,0.02210526674753055
Baseline,32,2048,NVIDIA A100-PCIE-40GB,0,0.046704795814796606,0.04512491088826209,0.04435090522747487,0.045899925811681896
Baseline,32,4096,NVIDIA A100-PCIE-40GB,0,0.09180507819506932,0.09063585917465389,0.09030319354496896,0.09296163346152753
Baseline,32,8192,NVIDIA A100-PCIE-40GB,0,0.18267774337437004,0.18038811010774225,0.1799050869885832,0.18463687854819
CacheDecompressed,32,32,NVIDIA A100-PCIE-40GB,83886080,0.0004235213682986796,0.0004234235170297325,0.0004234207819681615,0.00042357302899472416
CacheDecompressed,32,64,NVIDIA A100-PCIE-40GB,167772160,0.00048660609708167614,0.000485989301931113,0.00048597470205277206,0.00048692909453529863
CacheDecompressed,32,128,NVIDIA A100-PCIE-40GB,335544320,0.0006066196949686855,0.0006066196949686855,0.0006065439359517768,0.0006066954539855942
CacheDecompressed,32,256,NVIDIA A100-PCIE-40GB,671088640,0.0008504459580872207,0.0008504459580872207,0.0008503602021373808,0.0008505317140370607
CacheDecompressed,32,512,NVIDIA A100-PCIE-40GB,1342177280,0.001350380510557443,0.0013429595308844001,0.001341515352251008,0.0013442386413225903
CacheDecompressed,32,1024,NVIDIA A100-PCIE-40GB,2684354560,0.002320944912265986,0.002320664229337126,0.0023190331598743797,0.002322581170592457
CacheDecompressed,32,2048,NVIDIA A100-PCIE-40GB,5368709120,0.004311630359540383,0.004312290418893099,0.004311222849646583,0.0043123678991105405
CacheDecompressed,32,4096,NVIDIA A100-PCIE-40GB,10737418240,0.008309329965850338,0.008309329965850338,0.00830878377368208,0.008309876158018597
CacheDecompressed,32,8192,NVIDIA A100-PCIE-40GB,21474836480,0.01630647332806672,0.016315003903582693,0.016297622048296035,0.016320533596444874
CacheCompressed,32,32,NVIDIA A100-PCIE-40GB,1179648,0.000923263059759682,0.0008943647192791105,0.0008941034052986651,0.0008949701488018035
CacheCompressed,32,64,NVIDIA A100-PCIE-40GB,2359296,0.0014808830046760184,0.0014507663808763028,0.0014505797962192446,0.0014633023145142943
CacheCompressed,32,128,NVIDIA A100-PCIE-40GB,4718592,0.0026935327972751116,0.002693390069762245,0.0026883475272916255,0.00269857533974573
CacheCompressed,32,256,NVIDIA A100-PCIE-40GB,9437184,0.005041965505806729,0.005041965505806729,0.00503588214807678,0.005048048863536678
CacheCompressed,32,512,NVIDIA A100-PCIE-40GB,18874368,0.01019596556900069,0.010148474446032195,0.0100987481942866,0.010212144890101627
CacheCompressed,32,1024,NVIDIA A100-PCIE-40GB,37748736,0.02021118558011949,0.020275897393003107,0.02021077780518681,0.02034415500238538
CacheCompressed,32,2048,NVIDIA A100-PCIE-40GB,75497472,0.04236416794204464,0.041212950367480516,0.040614654193632305,0.04291805549291894
CacheCompressed,32,4096,NVIDIA A100-PCIE-40GB,150994944,0.08766860388762628,0.08630187844391912,0.08509460801724344,0.08765085646882653
CacheCompressed,32,8192,NVIDIA A100-PCIE-40GB,301989888,0.17179619690869002,0.17179619690869002,0.17179619690869002,0.17179619690869002
