bench,bsz,kv_len,device_name,cache_size,mean,median,p25,p75
Baseline,1,32,NVIDIA GeForce RTX 4080,0,0.0006964120583888921,0.0006924294866621494,0.0006897658458910882,0.0006963073392398655
Baseline,1,64,NVIDIA GeForce RTX 4080,0,0.0007321075843115327,0.0007297999691218138,0.0007270286441780627,0.0007336884154938161
Baseline,1,128,NVIDIA GeForce RTX 4080,0,0.0007391698355253039,0.000686044804751873,0.0006818280089646578,0.0008347819093614817
Baseline,1,256,NVIDIA GeForce RTX 4080,0,0.0008898960019203294,0.0008954965742304921,0.0008919574902392924,0.0009000652353279293
Baseline,1,512,NVIDIA GeForce RTX 4080,0,0.0008541542846219572,0.0008443079423159361,0.0008430890738964081,0.0008488225284963846
Baseline,1,1024,NVIDIA GeForce RTX 4080,0,0.0011978111692709837,0.0011836718767881393,0.0011825015535578132,0.0011861700331792235
Baseline,1,2048,NVIDIA GeForce RTX 4080,0,0.001855194962721456,0.0018258144846186042,0.0018210836569778621,0.0018580835312604904
Baseline,1,4096,NVIDIA GeForce RTX 4080,0,0.0028978874106121632,0.0028578040655702353,0.0028557677287608385,0.0028615722549147904
Baseline,1,8192,NVIDIA GeForce RTX 4080,0,0.005304426644687299,0.005238970974460244,0.005235311109572649,0.005246981978416443
Baseline,1,16384,NVIDIA GeForce RTX 4080,0,0.009856503799228984,0.009771991055458784,0.00976631190860644,0.009780322783626616
Baseline,1,32768,NVIDIA GeForce RTX 4080,0,0.019497249127688028,0.01925128558650613,0.01924453378887847,0.01928408775711432
Baseline,1,65536,NVIDIA GeForce RTX 4080,0,0.0382564558164665,0.03793204599060118,0.03792141599114984,0.03794436401221901
Baseline,1,131072,NVIDIA GeForce RTX 4080,0,0.0758035568786519,0.07565856154542416,0.07562855799915269,0.07568983058445156
CacheDecompressed,1,32,NVIDIA GeForce RTX 4080,2621440,0.00045039618054094416,0.00045041457982733843,0.0004503441773122176,0.0004504573834128678
CacheDecompressed,1,64,NVIDIA GeForce RTX 4080,5242880,0.00045502684490444765,0.0004549620908219367,0.0004549490718636662,0.0004550722409039736
CacheDecompressed,1,128,NVIDIA GeForce RTX 4080,10485760,0.00046431142697110774,0.00046423968183808027,0.0004642326269531622,0.00046435435442253943
CacheDecompressed,1,256,NVIDIA GeForce RTX 4080,20971520,0.0004805313493901243,0.0004804836770053953,0.0004804432910168544,0.0004805955715710297
CacheDecompressed,1,512,NVIDIA GeForce RTX 4080,41943040,0.000514210568042472,0.000514210568042472,0.0005141314915381373,0.0005142896445468068
